time,value,date
14:23:46,79,2021-10-08 14:23:46
14:23:51,86,2021-10-08 14:23:51
14:23:56,83,2021-10-08 14:23:56
14:24:01,86,2021-10-08 14:24:01
14:24:06,87,2021-10-08 14:24:06
14:24:11,88,2021-10-08 14:24:11
14:24:16,85,2021-10-08 14:24:16
14:24:21,89,2021-10-08 14:24:21
14:24:26,88,2021-10-08 14:24:26
14:24:31,89,2021-10-08 14:24:31
14:24:41,87,2021-10-08 14:24:41
14:24:51,89,2021-10-08 14:24:51
14:24:56,88,2021-10-08 14:24:56
14:25:01,86,2021-10-08 14:25:01
14:25:16,86,2021-10-08 14:25:16
14:25:21,88,2021-10-08 14:25:21
14:25:36,88,2021-10-08 14:25:36
14:25:46,89,2021-10-08 14:25:46
14:25:56,90,2021-10-08 14:25:56
14:26:06,88,2021-10-08 14:26:06
14:26:11,86,2021-10-08 14:26:11
14:26:16,84,2021-10-08 14:26:16
14:26:21,83,2021-10-08 14:26:21
14:26:26,84,2021-10-08 14:26:26
14:26:31,87,2021-10-08 14:26:31
14:26:41,88,2021-10-08 14:26:41
14:26:46,86,2021-10-08 14:26:46
14:26:51,88,2021-10-08 14:26:51
14:26:56,87,2021-10-08 14:26:56
14:27:01,88,2021-10-08 14:27:01
14:27:11,87,2021-10-08 14:27:11
14:27:16,88,2021-10-08 14:27:16
14:27:21,88,2021-10-08 14:27:21
14:27:31,85,2021-10-08 14:27:31
14:27:36,86,2021-10-08 14:27:36
14:27:41,85,2021-10-08 14:27:41
14:27:46,84,2021-10-08 14:27:46
14:27:51,85,2021-10-08 14:27:51
14:27:56,86,2021-10-08 14:27:56
14:28:01,87,2021-10-08 14:28:01
14:28:11,89,2021-10-08 14:28:11
14:28:16,90,2021-10-08 14:28:16
14:28:21,88,2021-10-08 14:28:21
14:28:31,81,2021-10-08 14:28:31
14:28:36,80,2021-10-08 14:28:36
14:28:41,78,2021-10-08 14:28:41
14:28:46,81,2021-10-08 14:28:46
14:28:56,79,2021-10-08 14:28:56
